phrase,score
high yield,2.397
long term,1.936
yield bonds,1.706
hedge funds,1.497
don know,1.476
new york,1.471
wall street,1.441
low rates,1.438
real estate,1.42
short term,1.319
hedge fund,1.296
prospective returns,1.259
financial institutions,1.228
asset prices,1.186
distressed debt,1.151
years ago,1.107
street journal,1.035
stock prices,1.029
private equity,1.013
york times,1.01
risk aversion,0.995
mutual fund,0.938
risk return,0.932
yield bond,0.91
long run,0.903
risk taking,0.871
don think,0.865
economic growth,0.853
ve seen,0.847
risk adjusted,0.844
financial crisis,0.841
high returns,0.816
short run,0.816
low risk,0.816
good times,0.809
intrinsic value,0.743
basis points,0.736
emphasis added,0.726
doesn mean,0.725
fixed income,0.718
asset class,0.716
mutual funds,0.715
make money,0.713
capital management,0.713
security prices,0.712
higher returns,0.712
warren buffett,0.711
new cases,0.697
venture capital,0.694
covid 19,0.682
asset classes,0.681
cash flows,0.675
important thing,0.644
low return,0.643
higher rates,0.636
expected return,0.636
great deal,0.622
central banks,0.622
10 year,0.621
negative rates,0.617
home prices,0.613
know school,0.612
rating agencies,0.61
people think,0.601
global financial,0.601
equity capital,0.589
conduct affairs,0.586
risk premiums,0.58
losing money,0.575
know future,0.57
recent years,0.567
easy money,0.559
tech stocks,0.558
mortgage backed,0.556
rate cuts,0.554
