memo_id,title,date,nearest_neighbors
the_route_to_performance,The Route to Performance,1990-10-12,"Fewer Losers, or More Winners? | What Really Matters? | Returns, Absolute Returns and Risk"
first_quarter_performance,First Quarter Performance,1991-04-11,The Happy Medium | It’s All Good | Open and Shut
microeconomics_101_supply_demand_and_convertibles,"Microeconomics 101: Supply, Demand and Convertibles",1992-10-08,A Case in Point | Oaktree at Ten | Investing Without People
random_thoughts_on_the_identification_of_inv_opportunities,Random Thoughts On The Identification Of Inv Opportunities,1994-01-24,Everyone Knows | Risk in Today's Markets | Gimme Credit
risk_in_today_s_markets,Risk in Today's Markets,1994-02-17,"Hedge Funds: A Case for Caution | 'Risk in Today's Markets' Revisited | Returns, Absolute Returns and Risk"
risk_in_today_s_markets_revisited,'Risk in Today's Markets' Revisited,1994-04-11,"Hedge Funds: A Case for Caution | Returns, Absolute Returns and Risk | Risk in Today's Markets"
how_does_an_inefficient_market_get_that_way,How Does An Inefficient Market Get That Way,1994-07-15,High Yield Bonds Today | Gimme Credit | Everyone Knows
how_the_game_should_be_played,How the Game Should Be Played,1995-05-26,"We're Not In 1999 Anymore, Toto | High Yield Bonds Today | What’s Your Game Plan?"
the_value_of_predictions_ii_or_give_that_man_a_cigar,The Value of Predictions II (or 'Give That Man a Cigar'),1996-07-22,Whad’Ya Know? | The Illusion of Knowledge | Thinking About Macro
will_it_be_different_this_time,Will It Be Different This Time?,1996-11-25,You Can't Predict. You Can Prepare. | It’s All Good | Quo Vadis?
are_you_an_investor_or_a_speculator,Are You An Investor or a Speculator?,1997-09-03,Hemlines | Latest Thinking | The Long View
who_knew,Who Knew?,1998-01-08,Are You An Investor or a Speculator? | Genius Isn't Enough (and Other Lessons from Long-Term Capital Management) | Ditto
genius_isn_t_enough_and_other_lessons_from_long_term_capital_management,Genius Isn't Enough (and Other Lessons from Long-Term Capital Management),1998-10-09,Hedge Funds: A Case for Caution | The Tide Goes Out | Risk in Today's Markets
how_s_the_market,How's the Market?,1999-04-15,Hemlines | Irrational Exuberance | bubble.com
bubble_com,bubble.com,2000-01-02,On Bubble Watch | Irrational Exuberance | There They Go Again
irrational_exuberance,Irrational Exuberance,2000-05-01,Safety First . . . But Where? | Hemlines | The Long View
investment_miscellany,Investment Miscellany,2000-11-16,The Happy Medium | Liquidity | Now It’s All Bad?
we_re_not_in_1999_anymore_toto,"We're Not In 1999 Anymore, Toto",2000-12-31,How the Game Should Be Played | High Yield Bonds Today | You Bet!
safety_first_but_where,Safety First . . . But Where?,2001-04-10,The Realist's Creed | Returns and How They Get That Way | Hemlines
what_s_it_all_about_alpha,"What's It All About, Alpha?",2001-07-11,"Returns and How They Get That Way | Returns, Absolute Returns and Risk | Getting Lucky"
notes_from_new_york,Notes from New York,2001-09-16,What Lies Ahead? | Expert Opinion | Political Reality
what_lies_ahead,What Lies Ahead?,2001-10-04,On Uncertain Ground | Tell Me I’m Wrong | Thinking About Macro
you_can_t_predict_you_can_prepare,You Can't Predict. You Can Prepare.,2001-11-20,Open and Shut | The Realist's Creed | Will It Be Different This Time?
learning_from_enron,Learning From Enron,2002-03-14,"The Tide Goes Out | Hey, Steward!! | Will It Work?"
the_realist_s_creed,The Realist's Creed,2002-05-31,Safety First . . . But Where? | Hedge Funds: A Case for Caution | You Can't Predict. You Can Prepare.
quo_vadis,Quo Vadis?,2002-07-26,Hemlines | The Long View | Irrational Exuberance
etorre_s_wisdom,Etorre's Wisdom,2002-09-04,Safety First . . . But Where? | Whad’Ya Know? | Mr. Market Miscalculates
returns_and_how_they_get_that_way,Returns and How They Get That Way,2002-11-11,"What's It All About, Alpha? | Safety First . . . But Where? | Returns, Absolute Returns and Risk"
whad_ya_know,Whad’Ya Know?,2003-03-11,The Value of Predictions II (or 'Give That Man a Cigar') | The Illusion of Knowledge | So Much That’s False and Nutty
what_s_going_on,What's Going On?,2003-05-16,Hemlines | The Long View | The Outlook for Equities
the_most_important_thing,The Most Important Thing,2003-07-01,What Can We Do For You? | I Beg to Differ | Returns and How They Get That Way
what_s_your_game_plan,What’s Your Game Plan?,2003-09-05,"Inspiration from the World of Sports | Fewer Losers, or More Winners? | You Bet!"
the_feeling_s_mutual,The Feeling's Mutual,2003-10-02,"Hey, Steward!! | You Can’t Eat IRR | Returns, Absolute Returns and Risk"
hey_steward,"Hey, Steward!!",2004-03-16,The Feeling's Mutual | Hedge Funds: A Case for Caution | You Can’t Eat IRR
us_and_them,Us and Them,2004-05-07,The Realist's Creed | Whad’Ya Know? | The Most Important Thing
the_happy_medium,The Happy Medium,2004-07-21,Investment Miscellany | Open and Shut | First Quarter Performance
hedge_funds_a_case_for_caution,Hedge Funds: A Case for Caution,2004-10-06,"Returns, Absolute Returns and Risk | Risk in Today's Markets | 'Risk in Today's Markets' Revisited"
risk_and_return_today,Risk and Return Today,2004-10-27,Ditto | Coming into Focus | Hemlines
oaktree_at_ten,Oaktree at Ten,2005-04-11,"2020 in Review | The Most Important Thing | Hey, Steward!!"
there_they_go_again,There They Go Again,2005-05-06,How Quickly They Forget | Tell Me I’m Wrong | It Is What It Is
a_case_in_point,A Case in Point,2005-06-06,"Hedge Funds: A Case for Caution | Microeconomics 101: Supply, Demand and Convertibles | Hemlines"
risk,Risk,2006-01-19,Risk Revisited | What Really Matters? | Risk Revisited Again
it_is_what_it_is,It Is What It Is,2006-03-27,How Quickly They Forget | The New Paradigm | So Much That’s False and Nutty
returns_absolute_returns_and_risk,"Returns, Absolute Returns and Risk",2006-06-13,Hedge Funds: A Case for Caution | 'Risk in Today's Markets' Revisited | The Realist's Creed
you_can_t_eat_irr,You Can’t Eat IRR,2006-07-12,"Lines in the Sand | The Feeling's Mutual | Returns, Absolute Returns and Risk"
dare_to_be_great,Dare to Be Great,2006-09-07,Dare to Be Great II | I Beg to Differ | Risk
the_new_paradigm,The New Paradigm,2006-10-19,Now It’s All Bad? | It’s All Good | So Much That’s False and Nutty
pigweed,Pigweed,2006-12-07,"Inspiration from the World of Sports | Hedge Funds: A Case for Caution | Returns, Absolute Returns and Risk"
the_race_to_the_bottom,The Race to the Bottom,2007-02-14,The Aviary | The Seven Worst Words in the World | Warning Flags
everyone_knows,Everyone Knows,2007-04-26,It’s Not Easy | Hemlines | Gimme Credit
it_s_all_good,It’s All Good,2007-07-16,Warning Flags | Now It’s All Bad? | The Long View
it_s_all_good_really,It’s All Good . . . Really?,2007-07-30,Now It’s All Bad? | Now What? | Whodunit
now_it_s_all_bad,Now It’s All Bad?,2007-09-10,It’s All Good . . . Really? | Now What? | So Much That’s False and Nutty
no_different_this_time_the_lessons_of_07,No Different This Time – The Lessons of ‘07,2007-12-17,Risk Revisited Again | Now It’s All Bad? | Whodunit
now_what,Now What?,2008-01-10,Whodunit | It’s All Good . . . Really? | Now It’s All Bad?
whodunit,Whodunit,2008-02-20,Now What? | It’s All Good . . . Really? | So Much That’s False and Nutty
the_tide_goes_out,The Tide Goes Out,2008-03-18,Now What? | Now It’s All Bad? | Volatility + Leverage = Dynamite
the_aviary,The Aviary,2008-05-16,On Regulation | Lessons from Silicon Valley Bank | Touchstones
doesn_t_make_sense,Doesn’t Make Sense,2008-07-31,Whodunit | So Much That’s False and Nutty | Touchstones
what_worries_me,What Worries Me,2008-08-28,Economic Reality | Political Reality | The Lessons of Oil
nobody_knows,Nobody Knows,2008-09-19,Plan B | The Long View | The Tide Goes Out
plan_b,Plan B,2008-09-24,Volatility + Leverage = Dynamite | Nobody Knows | Lessons from Silicon Valley Bank
the_limits_to_negativism,The Limits to Negativism,2008-10-15,The Aviary | Economic Reality | Tell Me I’m Wrong
volatility_leverage_dynamite,Volatility + Leverage = Dynamite,2008-12-17,The Impact of Debt | Plan B | Now What?
the_long_view,The Long View,2009-01-09,Hemlines | So Much That’s False and Nutty | Touchstones
will_it_work,Will It Work?,2009-03-05,Lessons from Silicon Valley Bank | On Uncertain Ground | Down to the Wire
so_much_that_s_false_and_nutty,So Much That’s False and Nutty,2009-07-08,The Long View | Now It’s All Bad? | Whodunit
touchstones,Touchstones,2009-11-10,So Much That’s False and Nutty | The Long View | The Aviary
tell_me_i_m_wrong,Tell Me I’m Wrong,2010-01-22,Thinking About Macro | On Uncertain Ground | This Time It’s Different
i_d_rather_be_wrong,I’d Rather Be Wrong,2010-03-17,A Fresh Start (Hopefully) | The Winds of Change | Implications of the Election
warning_flags,Warning Flags,2010-05-12,The Seven Worst Words in the World | It’s All Good | The Race Is On
it_s_greek_to_me,It’s Greek to Me,2010-07-19,Down to the Wire | On Uncertain Ground | What Worries Me
hemlines,Hemlines,2010-09-10,The Long View | What's Going On? | Déjà Vu All Over Again
open_and_shut,Open and Shut,2010-12-01,You Can't Predict. You Can Prepare. | The Happy Medium | It’s All Good
all_that_glitters,All That Glitters,2010-12-17,Doesn’t Make Sense | Thinking About Macro | Tell Me I’m Wrong
on_regulation,On Regulation,2011-03-02,The Aviary | Lessons from Silicon Valley Bank | Touchstones
how_quickly_they_forget,How Quickly They Forget,2011-05-25,Gimme Credit | It Is What It Is | The Seven Worst Words in the World
down_to_the_wire,Down to the Wire,2011-07-21,It’s Greek to Me | What’s Behind the Downturn? | On Uncertain Ground
what_s_behind_the_downturn,What’s Behind the Downturn?,2011-09-07,Down to the Wire | On Uncertain Ground | It’s Greek to Me
it_s_all_very_taxing,It’s All Very Taxing,2011-11-16,Latest Thinking | Economic Reality | Down to the Wire
what_can_we_do_for_you,What Can We Do For You?,2012-01-10,The Most Important Thing | On Uncertain Ground | Touchstones
assessing_performance_records_a_case_study,Assessing Performance Records – A Case Study,2012-02-15,A Look Under the Hood | What Really Matters? | So Much That’s False and Nutty
d_j_vu_all_over_again,Déjà Vu All Over Again,2012-03-19,Taking the Temperature | Hemlines | The Outlook for Equities
it_s_all_a_big_mistake,It’s All a Big Mistake,2012-06-20,"Selling Out | The Most Important Thing | What's It All About, Alpha?"
on_uncertain_ground,On Uncertain Ground,2012-09-11,Tell Me I’m Wrong | It’s Greek to Me | On the Couch
a_fresh_start_hopefully,A Fresh Start (Hopefully),2012-11-09,Implications of the Election | The Winds of Change | I’d Rather Be Wrong
ditto,Ditto,2013-01-07,Risk and Return Today | The Happy Medium | The Long View
high_yield_bonds_today,High Yield Bonds Today,2013-02-21,"Gimme Credit | We're Not In 1999 Anymore, Toto | How Does An Inefficient Market Get That Way"
the_outlook_for_equities,The Outlook for Equities,2013-03-13,Coming into Focus | Hemlines | Déjà Vu All Over Again
the_role_of_confidence,The Role of Confidence,2013-08-05,On Uncertain Ground | On the Couch | What’s Behind the Downturn?
the_race_is_on,The Race Is On,2013-11-26,The Seven Worst Words in the World | Warning Flags | The Long View
getting_lucky,Getting Lucky,2014-01-16,"You Bet! | What's It All About, Alpha? | It’s All a Big Mistake"
dare_to_be_great_ii,Dare to Be Great II,2014-04-08,I Beg to Differ | Dare to Be Great | Risk
risk_revisited,Risk Revisited,2014-09-03,Risk Revisited Again | Risk | What Really Matters?
the_lessons_of_oil,The Lessons of Oil,2014-12-18,On the Couch | What Worries Me | Which Way Now?
liquidity,Liquidity,2015-03-25,Selling Out | Investment Miscellany | Investing Without People
risk_revisited_again,Risk Revisited Again,2015-06-08,Risk Revisited | No Different This Time – The Lessons of ‘07 | Risk
it_s_not_easy,It’s Not Easy,2015-09-09,I Beg to Differ | Everyone Knows | Dare to Be Great II
inspiration_from_the_world_of_sports,Inspiration from the World of Sports,2015-10-22,What’s Your Game Plan? | You Bet! | Pigweed
on_the_couch,On the Couch,2016-01-14,The Lessons of Oil | On Uncertain Ground | The Role of Confidence
what_does_the_market_know,What Does the Market Know?,2016-01-19,Mr. Market Miscalculates | On the Couch | Selling Out
economic_reality,Economic Reality,2016-05-26,Political Reality Meets Economic Reality | Political Reality | What Worries Me
political_reality,Political Reality,2016-08-17,Economic Reality | Political Reality Meets Economic Reality | What Worries Me
implications_of_the_election,Implications of the Election,2016-11-07,A Fresh Start (Hopefully) | Go Figure! | The Winds of Change
expert_opinion,Expert Opinion,2017-01-10,Go Figure! | Political Reality | Implications of the Election
lines_in_the_sand,Lines in the Sand,2017-04-18,"You Can’t Eat IRR | The Feeling's Mutual | Hey, Steward!!"
there_they_go_again_again,There They Go Again . . . Again,2017-07-26,Investing Without People | Bull Market Rhymes | Safety First . . . But Where?
yet_again,Yet Again?,2017-09-07,Bull Market Rhymes | Investing Without People | There They Go Again . . . Again
latest_thinking,Latest Thinking,2018-01-23,It’s All Very Taxing | This Time It’s Different | On Uncertain Ground
investing_without_people,Investing Without People,2018-06-18,There They Go Again . . . Again | Liquidity | Safety First . . . But Where?
