from_title,from_date,to_title,to_date,days_between,tone_shift_score,sentiment_delta,from_stance,to_stance,from_prediction_style,to_prediction_style,increased_themes,decreased_themes,explanation
"We're Not In 1999 Anymore, Toto",2000-12-31,Safety First . . . But Where?,2001-04-10,100,0.8847,0.6923,neutral,opportunistic,forecasting,forecasting,"valuation (+7.79), macro (+3.63), technology_ai (+2.60)",risk (-5.02),"stance moves from neutral to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+7.79), macro (+3.63), technology_ai (+2.60); less emphasis on risk (-5.02)"
I’d Rather Be Wrong,2010-03-17,Warning Flags,2010-05-12,56,0.8223,-0.2286,constructive,opportunistic,forecasting,warning,"credit (+21.62), risk (+13.18), psychology (+5.30)","politics (-13.19), macro (-3.13)","stance moves from constructive to opportunistic; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+21.62), risk (+13.18), psychology (+5.30); less emphasis on politics (-13.19), macro (-3.13)"
Investment Miscellany,2000-11-16,"We're Not In 1999 Anymore, Toto",2000-12-31,45,0.7786,0.3333,alarmed,neutral,warning,forecasting,risk (+3.55),"valuation (-9.56), technology_ai (-4.05), credit (-3.68)","stance moves from alarmed to neutral; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on risk (+3.55); less emphasis on valuation (-9.56), technology_ai (-4.05), credit (-3.68)"
How's the Market?,1999-04-15,bubble.com,2000-01-02,262,0.7576,-0.75,constructive,constructive,forecasting,forecasting,"technology_ai (+4.75), valuation (+1.57), prediction (+1.25)","macro (-8.41), rates (-8.41), credit (-2.53)","later memo is materially more defensive / bearish in tone; greater emphasis on technology_ai (+4.75), valuation (+1.57), prediction (+1.25); less emphasis on macro (-8.41), rates (-8.41), credit (-2.53)"
On Bubble Watch,2025-01-02,Gimme Credit,2025-03-06,63,0.7335,0.8842,alarmed,constructive,warning,forecasting,"credit (+65.59), risk (+13.29), rates (+3.78)","technology_ai (-3.86), macro (-1.32), cycles (-0.24)","stance moves from alarmed to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on credit (+65.59), risk (+13.29), rates (+3.78); less emphasis on technology_ai (-3.86), macro (-1.32), cycles (-0.24)"
The Seven Worst Words in the World,2018-09-26,Political Reality Meets Economic Reality,2019-01-30,126,0.703,1.1409,alarmed,constructive,warning,forecasting,"politics (+5.83), macro (+2.27), prediction (+0.38)","credit (-21.19), risk (-7.80), rates (-6.32)","stance moves from alarmed to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+5.83), macro (+2.27), prediction (+0.38); less emphasis on credit (-21.19), risk (-7.80), rates (-6.32)"
Gimme Credit,2025-03-06,Nobody Knows (Yet Again),2025-04-09,34,0.6986,-0.3049,constructive,constructive,forecasting,forecasting,"uncertainty (+3.60), macro (+2.82), politics (+1.66)","credit (-63.79), risk (-14.70), valuation (-7.21)","later memo is materially more defensive / bearish in tone; greater emphasis on uncertainty (+3.60), macro (+2.82), politics (+1.66); less emphasis on credit (-63.79), risk (-14.70), valuation (-7.21)"
The Impact of Debt,2024-05-08,The Folly of Certainty,2024-07-17,70,0.6876,-0.4405,opportunistic,humble,warning,forecasting,"rates (+9.55), macro (+8.68), politics (+3.47)","risk (-13.80), credit (-9.81), valuation (-2.02)","stance moves from opportunistic to humble; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on rates (+9.55), macro (+8.68), politics (+3.47); less emphasis on risk (-13.80), credit (-9.81), valuation (-2.02)"
Ditto,2013-01-07,High Yield Bonds Today,2013-02-21,45,0.6705,-0.0455,constructive,opportunistic,warning,forecasting,"credit (+35.90), rates (+11.06), valuation (+2.35)","cycles (-8.13), risk (-7.76), psychology (-3.29)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; greater emphasis on credit (+35.90), rates (+11.06), valuation (+2.35); less emphasis on cycles (-8.13), risk (-7.76), psychology (-3.29)"
First Quarter Performance,1991-04-11,"Microeconomics 101: Supply, Demand and Convertibles",1992-10-08,546,0.665,0.75,cautious,constructive,forecasting,forecasting,"valuation (+8.42), uncertainty (+1.12)","cycles (-23.12), credit (-6.79), psychology (-5.78)","stance moves from cautious to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+8.42), uncertainty (+1.12); less emphasis on cycles (-23.12), credit (-6.79), psychology (-5.78)"
